request_source,request_dest,first_request_time,last_intermediate_reply_time,direct_reply_time,delta,used_fallback_direct_as_intermediate,num_replies
"[7,2]","[0,254]",449.1008464405071,449.1011649060793,449.1012284302778,0.0003819897706875963,False,3
"[87,2]","[0,254]",450.100988411966,450.10155708234754,450.101605948429,0.0006175364629825708,False,5
"[130,1]","[0,254]",456.1010335311012,456.10174022278113,456.1017880619689,0.0007545308676526474,False,10
"[131,1]","[0,254]",462.1010945837458,462.10189567188377,462.10194366728905,0.0008490835432439781,False,7
"[132,1]","[0,254]",468.1011450891756,468.10204797767625,468.1020945349465,0.000949445770913826,False,8
"[133,1]","[0,254]",474.1011586128103,474.1021602137748,474.1022140187322,0.001055405921874808,False,9
"[133,1]","[0,254]",478.1012816811511,478.1023331874042,478.102337087073,0.0010554059219316514,False,17
"[133,1]","[0,254]",480.1012816811511,480.1022832821156,480.102337087073,0.0010554059219316514,False,9
"[135,1]","[0,254]",481.1010161533184,481.1022447613617,481.10227385654537,0.0012577032269405208,False,16
"[135,2]","[0,254]",481.1012087945948,481.1024533564819,481.1025256045889,0.0013168099940799038,False,11
"[138,1]","[0,254]",483.1010873005342,483.1025156569668,483.10258247968966,0.0014951791554835836,False,23
"[138,2]","[0,254]",483.10117307665695,483.1025887368124,483.1026666308168,0.0014935541598788404,False,12
"[140,1]","[0,254]",485.1009671763285,485.10259926260176,485.1026289298174,0.0016617534889178387,False,35
"[141,1]","[0,254]",485.1011732349903,485.10276240993534,485.1028246055867,0.0016513705963916436,False,35
"[143,4]","[0,254]",489.1013670957983,489.10328843430807,489.10334317974144,0.001976083943134199,False,43
"[143,5]","[0,254]",489.1013780583291,489.1032983162255,489.1033604528814,0.0019823945523285147,False,29
"[141,1]","[0,254]",492.10289671320186,492.1044790529409,492.1045480837983,0.001651370596448487,False,24
"[144,2]","[0,254]",495.1014213636204,495.1034745414472,495.1035295222996,0.002108158679220651,False,31
"[144,3]","[0,254]",495.10141824321306,495.1035158697184,495.10353948412205,0.00212124090899124,False,31
"[144,1]","[0,254]",495.1014886965893,495.1035723847877,495.1035938919342,0.002105195344938693,False,30
"[145,1]","[0,254]",495.1014755801683,495.1035257356571,495.1035957226924,0.00212014252406334,False,31
"[149,1]","[0,254]",501.1015747950661,501.103738676297,501.1038049006543,0.0022301055882394394,False,17
"[149,2]","[0,254]",501.10193367662265,501.1041252169561,501.1041914413133,0.002257764690625663,False,17
"[149,3]","[0,254]",503.10155643187386,503.1037637898386,503.10381143500376,0.0022550031299033435,False,49
"[153,1]","[0,254]",503.10189339624407,503.1042894442448,503.1043121717137,0.002418775469607226,False,32
"[153,1]","[0,254]",506.1019251999915,506.1042736760368,506.1043439754612,0.0024187754696640695,False,18
"[154,2]","[0,254]",509.1009029659027,509.1032418732595,509.1033094111231,0.002406445220401565,False,18
"[154,1]","[0,254]",509.10097314712186,509.1033595231072,509.103373653836,0.002400506714138828,False,27
"[154,1]","[0,254]",509.1033843864848,509.1039818891864,509.1040191682398,0.0006347817550249601,False,17
"[154,3]","[0,254]",509.1016480748977,509.1039957374992,509.10405787120783,0.002409796310132606,False,35
"[158,1]","[0,254]",511.1009180601951,511.1034247377022,511.1034516195565,0.0025335593613817764,False,36
"[3,2]","[0,254]",22.10028590139972,,,,False,0
"[24,2]","[0,254]",42.10039278147427,,,,False,0
"[24,1]","[0,254]",42.1004513637308,,,,False,0
"[26,1]","[0,254]",42.10050062507757,,,,False,0
"[30,2]","[0,254]",46.10051902764358,,,,False,0
"[30,3]","[0,254]",46.10053155636224,,,,False,0
"[43,1]","[0,254]",58.10040087477493,,,,False,0
"[10,5]","[0,254]",154.101273078259,,,,False,0
"[2,5]","[0,254]",156.10079210136269,,,,False,0
"[2,7]","[0,254]",156.1009605654901,,,,False,0
"[26,4]","[0,254]",156.10140846782278,,,,False,0
"[54,1]","[0,254]",158.10102020628028,,,,False,0
"[74,4]","[0,254]",261.10140271868266,,,,False,0
"[59,4]","[0,254]",263.1013224846878,,,,False,0
"[57,1]","[0,254]",264.1006331583775,,,,False,0
"[5,3]","[0,254]",266.10062631407936,,,,False,0
"[57,5]","[0,254]",268.1013319294691,,,,False,0
"[57,3]","[0,254]",268.10146148516725,,,,False,0
"[57,4]","[0,254]",270.10143212743765,,,,False,0
"[59,3]","[0,254]",270.1015400644067,,,,False,0
"[73,2]","[0,254]",270.1016467156333,,,,False,0
"[73,3]","[0,254]",270.10186053150164,,,,False,0
"[109,1]","[0,254]",316.10123596326423,,,,False,0
"[125,3]","[0,254]",388.101786531489,,,,False,0
"[123,1]","[0,254]",389.1009029659027,,,,False,0
"[126,1]","[0,254]",389.1010478800533,,,,False,0
"[123,3]","[0,254]",389.1022948325624,,,,False,0
"[126,4]","[0,254]",391.101029477484,,,,False,0
"[118,3]","[0,254]",391.10193367662265,,,,False,0
"[108,3]","[0,254]",396.1013504403977,,,,False,0
"[104,4]","[0,254]",398.100998805092,,,,False,0
"[104,1]","[0,254]",398.1011617307192,,,,False,0
"[143,2]","[0,254]",487.10128973566094,,,,False,0
"[157,2]","[0,254]",513.1006805642274,,,,False,0
"[157,3]","[0,254]",513.1007397699915,,,,False,0
"[159,1]","[0,254]",515.1010478800533,,,,False,0
"[159,2]","[0,254]",515.1016301418218,,,,False,0
"[158,2]","[0,254]",523.101029477484,,,,False,0
"[141,1]","[0,254]",547.1029689791502,,,,False,0
