time,packet_type,source,current_node,next_hop,dest,hop_count,path_type
1096.1007844921037,SENSOR_DATA,"[27,2]",65,"[12,254]","[0,254]",,TREE
1096.1008068087965,SENSOR_DATA,"[28,4]",64,"[12,254]","[0,254]",,TREE
1096.1008365452494,SENSOR_DATA,"[27,2]",55,"[4,1]","[0,254]",,TREE
1096.1008495471087,SENSOR_DATA,"[28,5]",64,"[12,254]","[0,254]",,TREE
1096.1008613010088,SENSOR_DATA,"[28,3]",46,"[4,254]","[0,254]",,TREE
1096.1008822216932,SENSOR_DATA,"[28,4]",55,"[4,1]","[0,254]",,TREE
1096.1009231499895,SENSOR_DATA,"[27,2]",46,"[4,254]","[0,254]",,TREE
1096.1009249600054,SENSOR_DATA,"[28,5]",55,"[4,1]","[0,254]",,TREE
1096.100932503561,SENSOR_DATA,"[28,3]",36,"[0,1]","[0,254]",,TREE
1096.1009688264332,SENSOR_DATA,"[28,4]",46,"[4,254]","[0,254]",,TREE
1096.1009943525416,SENSOR_DATA,"[27,2]",36,"[0,1]","[0,254]",,TREE
1096.1010030856182,SENSOR_DATA,"[28,3]",27,"[0,254]","[0,254]",,DIRECT
1096.1010115647455,SENSOR_DATA,"[28,5]",46,"[4,254]","[0,254]",,TREE
1096.1010400289854,SENSOR_DATA,"[28,4]",36,"[0,1]","[0,254]",,TREE
1096.101064934599,SENSOR_DATA,"[27,2]",27,"[0,254]","[0,254]",,DIRECT
1096.1010827672976,SENSOR_DATA,"[28,5]",36,"[0,1]","[0,254]",,TREE
1096.1011106110427,SENSOR_DATA,"[28,4]",27,"[0,254]","[0,254]",,DIRECT
1096.101153349355,SENSOR_DATA,"[28,5]",27,"[0,254]","[0,254]",,DIRECT
1096.101288669184,SENSOR_DATA,"[31,1]",2,"[19,1]","[0,254]",,TREE
1096.1013699798918,SENSOR_DATA,"[31,1]",3,"[19,254]","[0,254]",,TREE
1096.1014249960474,SENSOR_DATA,"[31,1]",13,"[2,5]","[0,254]",,TREE
1096.101475756227,SENSOR_DATA,"[32,1]",79,"[20,3]","[0,254]",,TREE
1096.1015006269877,SENSOR_DATA,"[31,1]",14,"[2,254]","[0,254]",,TREE
1096.1015470791078,SENSOR_DATA,"[32,1]",68,"[20,254]","[0,254]",,TREE
1096.1015841071942,SENSOR_DATA,"[33,1]",62,"[23,4]","[0,254]",,TREE
1096.1015887321664,SENSOR_DATA,"[31,1]",25,"[0,2]","[0,254]",,TREE
1096.1016285681262,SENSOR_DATA,"[34,1]",97,"[22,6]","[0,254]",,TREE
1096.1016298573138,SENSOR_DATA,"[32,1]",59,"[8,1]","[0,254]",,TREE
1096.1016525935972,SENSOR_DATA,"[31,1]",16,"[0,254]","[0,254]",,DIRECT
1096.1016723033508,SENSOR_DATA,"[33,1]",52,"[23,254]","[0,254]",,TREE
1096.101676106133,SENSOR_DATA,"[34,1]",87,"[22,254]","[0,254]",,TREE
1096.1016778527191,SENSOR_DATA,"[32,1]",49,"[8,254]","[0,254]",,TREE
1096.101704535792,SENSOR_DATA,"[36,1]",89,"[22,4]","[0,254]",,TREE
1096.101708677618,SENSOR_DATA,"[37,1]",96,"[22,5]","[0,254]",,TREE
1096.101716093022,SENSOR_DATA,"[35,1]",0,"[21,5]","[0,254]",,TREE
1096.1017337063302,SENSOR_DATA,"[33,1]",53,"[11,4]","[0,254]",,TREE
1096.1017365262535,SENSOR_DATA,"[33,3]",61,"[33,254]","[0,254]",,TREE
1096.1017470912511,SENSOR_DATA,"[34,1]",77,"[7,2]","[0,254]",,TREE
1096.1017563379212,SENSOR_DATA,"[39,2]",60,"[25,3]","[0,254]",,TREE
1096.1017668517186,SENSOR_DATA,"[32,1]",39,"[1,6]","[0,254]",,TREE
1096.1017703009513,SENSOR_DATA,"[40,1]",98,"[22,7]","[0,254]",,TREE
1096.1017712251655,SENSOR_DATA,"[35,1]",10,"[21,254]","[0,254]",,TREE
1096.1017748905263,SENSOR_DATA,"[38,1]",30,"[21,4]","[0,254]",,TREE
1096.1017903060344,SENSOR_DATA,"[37,1]",86,"[22,254]","[0,254]",,TREE
1096.1017937134254,SENSOR_DATA,"[36,1]",78,"[22,254]","[0,254]",,TREE
1096.1018186791332,SENSOR_DATA,"[33,3]",62,"[23,4]","[0,254]",,TREE
1096.1018240967367,SENSOR_DATA,"[33,1]",43,"[11,254]","[0,254]",,TREE
1096.1018344250683,SENSOR_DATA,"[34,1]",67,"[7,254]","[0,254]",,TREE
1096.1018391995729,SENSOR_DATA,"[39,2]",51,"[25,254]","[0,254]",,TREE
